Hash Size,Image Shape,Image Type,Accuracy,Fit Time,Average Query Time,acc,loss
64,"(64, 64)",blackwhite/full_image,0.50432,71.97025752067566,0.00038306045532226563,0.4954,0.7133
64,"(64, 64)",grayscale/string_image,0.50432,68.92934274673462,0.0004364671325683594,0.4947,0.7084
64,"(48, 64)",blackwhite/string_image,0.508,86.04475665092468,0.00041569801330566407,0.5046,0.7212
64,"(48, 64)",color/string_image/not_smooth,0.508,67.17683458328247,0.00046270198822021485,0.5099,0.6980
64,"(48, 64)",color/string_image/smooth,0.50432,78.50494313240051,0.00046114307403564454,0.5203,0.6943
64,"(48, 64)",color/full_image/not_smooth,0.508,69.73348927497864,0.0004622334289550781,0.5278,0.6985
64,"(48, 64)",color/full_image/smooth,0.508,91.77585792541504,0.00047597557067871095,0.5181,0.6969
64,"(48, 64)",color/string_image/smooth,0.50432,81.1050775051117,0.0005033035278320312,0.5221,0.6946
64,"(48, 64)",grayscale/full_image,0.50432,70.44434213638306,0.00046972911834716795,0.5059,0.6990
64,"(48, 64)",blackwhite/full_image,0.50432,68.87703680992126,0.00044614940643310545,0.5210,0.7025
64,"(48, 64)",grayscale/string_image,0.50432,69.34910440444946,0.00042038326263427737,0.5035,0.7016
64,"(128, 64)",blackwhite/string_image,0.508,69.86872553825378,0.00042444263458251953,0.4971,0.7070
64,"(128, 64)",color/string_image/not_smooth,0.508,85.48097562789917,0.0004773808670043945,0.5118,0.6941
64,"(128, 64)",color/string_image/smooth,0.50432,81.1065456867218,0.0004642636489868164,0.5163,0.6940
64,"(128, 64)",color/full_image/not_smooth,0.508,91.61140370368958,0.00046035961151123046,0.5168,0.6973
64,"(128, 64)",color/full_image/smooth,0.508,103.63709044456482,0.0005696714782714844,0.5206,0.6956
64,"(128, 64)",color/string_image/smooth,0.50432,98.18113589286804,0.0005937200164794922,0.5213,0.6936
64,"(128, 64)",grayscale/full_image,0.50432,89.7458348274231,0.0005888039779663086,0.5110,0.7027
